username,easyassignment1,easyassignment2,easyassignment3,easyassignment4,easyassignment5,easyassignment6,easyassignment7,easyassignment8,easyassignment9,easyassignment10
student1,0.911676245,0.894744113,0.122201325,0.089681991,0.865935082,0.197514691,0.539764689,0.302491549,0.137542655,0.884149303
student2,0.034223582,0.274146317,0.341559219,0.380079979,0.777236072,0.816893001,0.887254127,0.724188815,0.203870694,0.896321489
student3,0.718094481,0.582456672,0.227601351,0.953243545,0.110824062,0.584183263,0.60757609,0.421592032,0.294110895,0.568406097
student4,0.557529093,0.754941378,0.411185893,0.727648013,0.164623081,0.155046736,0.530978979,0.224212297,0.032725404,0.075854759
student5,0.472356381,0.052054266,0.891102087,0.512975605,0.293841479,0.340446871,0.429124793,0.540835364,0.599370614,0.624016805
student6,0.335942713,0.12233486,0.390702997,0.537215673,0.904219169,0.189202314,0.080248365,0.052057799,0.416916031,0.84254443
student7,0.463790318,0.023169638,0.680525839,0.696418832,0.231141829,0.448217055,0.708844075,0.307416943,0.750389753,0.589947869
student8,0.676656438,0.079870477,0.868158175,0.119583046,0.465365306,0.21404481,0.451670611,0.499081272,0.762013291,0.385283732
student9,0.277400703,0.136947368,0.685736643,0.20460424,0.95699713,0.401728574,0.911334191,0.558748357,0.20130148,0.655186079
student10,0.883920419,0.657730367,0.863053811,0.950682086,0.253291606,0.620046396,0.410383635,0.157336014,0.459919886,0.550547595